move,pos_id_1,pos_id_2,pos_id_3,pos_id_4,pos_id_5,pos_id_6,pos_id_7,pos_id_8,pos_id_9,pos_id_10,pos_id_11,pos_id_12,pos_id_13,pos_id_14,pos_id_15,pos_id_16,pos_id_17,pos_id_18,pos_id_19,pos_id_20,pos_id_21,pos_id_22,pos_id_23,pos_id_24,pos_id_25,pos_id_26,pos_id_27,pos_id_28,pos_id_29,pos_id_30,pos_id_31,pos_id_32,pos_id_33,pos_id_34,pos_id_35,pos_id_36,pos_id_37,pos_id_38,pos_id_39,pos_id_40,pos_id_41,pos_id_42,pos_id_43,pos_id_44,pos_id_45,pos_id_46,pos_id_47,pos_id_48,pos_id_49,pos_id_50,pos_id_51,pos_id_52,pos_id_53,pos_id_54,pos_id_55,pos_id_56,pos_id_57,pos_id_58,pos_id_59,pos_id_60,pos_id_61,pos_id_62,pos_id_63,pos_id_64,pos_id_65,from_x,from_y,to_x,to_y,move_turn,move_type,move_status,red_game_value,blue_game_value
1,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,6,-1,0,-1,5,8,4,9,4,5,-1,-1,-1,-1,-1,8,1,9,5,7,2,-1,4,-1,3,2,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,10,2,10,3,0,1,1,6235,6235
2,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,6,-1,0,-1,5,8,4,-1,4,5,-1,-1,-1,-1,-1,8,1,-1,5,7,2,-1,4,-1,3,2,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,5,2,7,2,1,1,1,5735,5735
3,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,6,-1,0,-1,5,8,4,-1,4,5,-1,-1,-1,-1,-1,8,1,5,-1,7,2,-1,4,-1,3,2,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,7,3,7,2,0,11,1,5735,5735
4,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,6,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,2,-1,4,-1,3,2,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,5,0,7,0,1,1,1,5335,5335
5,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,6,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,2,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,8,0,4,0,0,5,1,5333,5335
6,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,6,0,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,4,0,9,0,1,1,1,5331,5335
7,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,7,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,-1,-1,-1,5,0,2,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,9,1,9,0,0,4,1,4731,5265
8,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,-1,-1,-1,5,0,7,-1,-1,4,3,6,10,1,1,7,10,99,10,3,6,3,0,10,0,1,1,1,4729,5265
9,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,-1,-1,-1,5,0,7,6,-1,4,3,-1,10,1,1,7,10,99,10,3,6,11,0,10,1,0,2,1,4729,5265
10,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,5,-1,-1,-1,-1,-1,-1,1,5,-1,7,-1,-1,4,-1,3,-1,-1,-1,5,0,-1,6,-1,4,3,7,10,1,1,7,10,99,10,3,6,10,0,11,0,1,11,1,4729,5265
11,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,0,-1,5,-1,4,-1,4,7,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,4,-1,3,-1,-1,-1,5,0,-1,6,-1,4,3,7,10,1,1,7,10,99,10,3,6,7,4,5,4,0,1,1,4729,5235
12,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,-1,0,5,-1,4,-1,4,7,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,4,-1,3,-1,-1,-1,5,0,-1,6,-1,4,3,7,10,1,1,7,10,99,10,3,6,4,2,4,3,1,2,1,4729,5235
13,10,99,10,2,3,8,10,1,1,0,3,-1,2,-1,3,-1,1,-1,6,7,-1,-1,-1,0,5,-1,4,-1,7,-1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,4,-1,3,-1,-1,-1,5,0,-1,6,-1,4,3,7,10,1,1,7,10,99,10,3,6,5,4,5,3,0,1,1,4729,5225
