move,pos_id_1,pos_id_2,pos_id_3,pos_id_4,pos_id_5,pos_id_6,pos_id_7,pos_id_8,pos_id_9,pos_id_10,pos_id_11,pos_id_12,pos_id_13,pos_id_14,pos_id_15,pos_id_16,pos_id_17,pos_id_18,pos_id_19,pos_id_20,pos_id_21,pos_id_22,pos_id_23,pos_id_24,pos_id_25,pos_id_26,pos_id_27,pos_id_28,pos_id_29,pos_id_30,pos_id_31,pos_id_32,pos_id_33,pos_id_34,pos_id_35,pos_id_36,pos_id_37,pos_id_38,pos_id_39,pos_id_40,pos_id_41,pos_id_42,pos_id_43,pos_id_44,pos_id_45,pos_id_46,pos_id_47,pos_id_48,pos_id_49,pos_id_50,pos_id_51,pos_id_52,pos_id_53,pos_id_54,pos_id_55,pos_id_56,pos_id_57,pos_id_58,pos_id_59,pos_id_60,pos_id_61,pos_id_62,pos_id_63,pos_id_64,pos_id_65,from_x,from_y,to_x,to_y,move_turn,move_type,move_status,red_game_value,blue_game_value
1,4,99,10,2,10,1,1,9,10,3,2,-1,6,-1,3,4,7,-1,0,6,0,-1,1,-1,2,5,8,5,3,-1,-1,-1,-1,-1,-1,8,1,7,5,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,4,5,4,0,1,1,6085,6085
2,4,99,10,2,10,1,1,9,10,3,2,-1,6,-1,3,4,7,-1,0,6,0,-1,1,2,-1,5,8,5,3,-1,-1,-1,-1,-1,-1,8,1,7,5,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,4,4,4,3,1,2,1,6085,6085
3,4,99,10,2,10,1,1,9,10,3,2,-1,6,-1,3,4,7,-1,0,6,0,-1,1,2,-1,5,8,5,3,-1,-1,-1,-1,-1,-1,8,1,7,-1,5,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,3,7,4,0,11,1,6085,6085
4,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,0,6,0,-1,1,2,-1,5,8,5,3,-1,-1,-1,-1,-1,-1,8,1,7,-1,5,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,2,2,2,3,1,2,1,6085,6085
5,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,0,6,0,-1,1,2,-1,5,8,5,3,5,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,4,5,4,0,21,1,6085,6085
6,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,0,-1,0,-1,1,2,-1,5,8,5,3,6,-1,-1,-1,-1,-1,8,1,7,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,4,5,4,1,1,1,6055,6085
7,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,0,-1,0,-1,1,2,-1,5,8,5,3,6,-1,-1,-1,-1,-1,8,1,-1,-1,7,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,2,7,4,0,19,1,6055,6085
8,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,0,0,-1,1,2,-1,5,8,5,3,6,-1,-1,-1,-1,-1,8,1,-1,-1,7,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,3,3,4,1,20,1,6055,6085
9,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,0,0,-1,1,2,-1,5,8,5,3,7,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,4,5,4,0,1,1,6055,6015
10,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,-1,0,-1,1,2,-1,5,8,5,3,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,3,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,4,5,4,1,4,1,5905,5415
11,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,-1,0,-1,1,2,-1,5,8,5,3,3,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,8,4,5,4,0,21,1,5905,5415
12,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,-1,-1,0,1,2,-1,5,8,5,3,3,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,4,0,4,1,1,2,1,5905,5415
13,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,3,4,7,-1,-1,-1,-1,0,1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,5,0,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,5,4,5,3,0,21,1,5902,5412
14,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,-1,4,7,-1,-1,-1,-1,0,1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,5,-1,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,2,4,9,4,1,5,1,5302,5409
15,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,-1,4,7,-1,-1,-1,-1,0,1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,9,3,9,4,0,18,1,5302,5409
16,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,-1,4,7,1,-1,-1,-1,0,-1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,4,-1,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,4,2,3,2,1,2,1,5302,5409
17,4,99,10,2,10,1,1,9,10,3,2,-1,-1,6,-1,4,7,1,-1,-1,-1,0,-1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,8,2,8,3,0,2,1,5302,5409
18,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,4,-1,1,-1,-1,-1,0,-1,2,-1,5,8,5,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,2,-1,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,1,2,1,1,2,1,5302,5409
19,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,4,-1,1,-1,-1,-1,0,-1,2,-1,8,8,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,7,0,5,0,0,1,1,5302,5379
20,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,4,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,5,1,5,0,1,1,1,4902,4979
21,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,4,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,8,0,8,1,0,2,1,4902,4979
22,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,-1,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,2,0,-1,-1,5,3,-1,4,-1,3,6,10,1,1,9,10,2,10,99,6,3,0,3,1,1,11,1,4902,4979
23,4,99,10,2,10,1,1,9,10,3,2,7,-1,6,-1,-1,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,3,2,4,-1,3,6,10,1,1,9,10,2,10,99,6,9,0,10,1,0,2,1,4902,4979
24,4,99,10,2,10,1,1,9,10,3,-1,7,-1,6,-1,2,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,3,2,4,-1,3,6,10,1,1,9,10,2,10,99,6,2,0,3,0,1,11,1,4902,4979
25,4,99,10,2,10,1,1,9,10,3,-1,7,-1,6,-1,3,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,6,10,1,1,9,10,2,10,99,6,10,0,3,0,0,5,1,4902,4977
26,4,99,10,2,10,1,1,9,10,3,-1,-1,-1,6,-1,7,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,6,10,1,1,9,10,2,10,99,6,2,1,3,0,1,1,1,4899,4977
27,4,99,10,2,10,1,1,9,10,3,-1,-1,-1,6,-1,7,4,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,11,0,3,0,0,1,1,4829,4977
28,4,99,10,2,10,1,1,9,10,3,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,3,1,2,1,1,2,1,4829,4977
29,4,99,10,2,10,1,1,9,10,3,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,8,1,8,0,0,9,1,4829,4977
30,4,99,10,2,10,1,1,9,10,3,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,2,-1,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,5,2,7,2,1,21,1,4829,4977
31,4,99,10,2,10,1,1,9,10,3,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,2,-1,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,7,1,1,4,0,13,1,4229,4977
32,4,99,10,2,10,1,1,9,10,3,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,-1,4,-1,-1,0,-1,-1,5,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,7,2,8,1,1,2,1,4229,4977
33,4,99,10,2,10,1,1,9,10,5,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,-1,4,-1,-1,0,-1,-1,-1,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,9,4,1,4,0,1,1,4229,4974
34,4,99,10,2,10,1,1,9,10,5,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2,4,-1,3,-1,10,1,1,9,10,2,10,99,6,8,1,9,1,1,1,1,3629,4944
35,4,99,10,2,10,1,1,9,10,5,-1,4,-1,6,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,10,2,9,2,0,2,1,3629,4944
36,4,99,10,2,10,1,1,9,10,6,-1,4,-1,-1,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,2,3,1,4,1,1,1,3599,4944
37,4,99,10,2,10,1,1,9,10,6,-1,4,-1,-1,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,8,3,7,4,0,18,1,3599,4944
38,4,99,10,2,10,1,1,9,10,-1,-1,4,-1,-1,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,1,4,5,4,1,11,1,3599,4944
39,4,99,10,2,10,1,1,9,10,-1,-1,4,-1,-1,-1,7,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,7,4,7,0,0,19,1,3599,4944
40,4,99,10,2,10,1,1,9,10,-1,-1,4,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,3,0,5,0,1,11,1,3599,4944
41,4,99,10,2,10,1,1,9,10,-1,-1,4,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,7,0,8,1,0,2,1,3599,4944
42,4,99,10,2,10,1,1,9,10,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,10,1,1,9,10,2,10,99,6,2,1,2,2,1,11,1,3599,4944
43,4,99,10,2,10,1,1,9,10,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,10,4,10,3,0,2,1,3599,4944
44,4,99,10,2,10,1,1,9,10,-1,-1,-1,-1,4,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,2,2,2,3,1,2,1,3599,4944
45,4,99,10,2,10,1,1,9,10,-1,-1,-1,-1,4,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,4,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,9,2,8,3,0,2,1,3599,4944
46,4,99,10,2,10,1,1,-1,10,-1,-1,9,-1,4,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,4,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,1,2,2,1,1,2,1,3599,4944
47,4,99,10,2,10,1,1,-1,10,-1,-1,9,-1,4,-1,-1,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,8,3,8,2,0,11,1,3599,4944
48,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,2,1,3,0,1,18,1,3599,4944
49,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,7,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,8,2,7,2,0,18,1,3599,4944
50,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,-1,7,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,5,0,5,1,1,11,1,3599,4944
51,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,-1,7,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,8,0,9,0,0,11,1,3599,4944
52,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,5,1,5,2,1,19,1,3599,4944
53,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,9,-1,1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,7,2,7,3,0,3,1,3599,4944
54,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,-1,-1,1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,3,0,4,0,1,11,1,3599,4944
55,4,99,10,2,10,1,1,-1,10,-1,-1,-1,-1,4,-1,-1,-1,1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,9,0,10,0,0,11,1,3599,4944
56,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,-1,-1,-1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,3,2,2,1,1,2,1,3599,4944
57,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,-1,-1,-1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,10,0,9,0,0,11,1,3599,4944
58,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,9,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,4,0,3,0,1,11,1,3599,4944
59,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,9,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,9,0,9,1,0,11,1,3599,4944
60,4,99,10,2,10,1,1,-1,10,-1,9,1,-1,4,-1,-1,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,3,0,2,0,1,11,1,3599,4944
61,4,99,10,2,10,1,1,-1,10,-1,9,1,-1,4,-1,-1,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,9,1,9,2,0,2,1,3599,4944
62,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,9,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,2,0,3,0,1,11,1,3599,4944
63,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,9,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,7,3,7,0,0,9,1,3599,4944
64,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,-1,-1,-1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,3,0,4,0,1,11,1,3599,4944
65,4,99,10,2,10,1,1,-1,10,-1,-1,1,-1,4,-1,-1,-1,-1,-1,-1,9,0,-1,2,-1,-1,-1,7,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,10,1,1,9,10,2,10,99,6,9,2,8,3,0,2,1,3599,4944
